Feature,Subject,Correlation,P_Value,Abs_Correlation,N_Samples,P_Corrected,Significant
Story_MS_perceptual_verbs_auditory_Count,Human,-0.16854237812055484,1.1417944813496985e-19,0.16854237812055484,2860,,True
Story_MS_perceptual_verbs_general_Count,Human,-0.05240818983293263,0.005056106643985831,0.05240818983293263,2860,,True
Story_MS_perceptual_verbs_Total,Human,-0.17956206828820698,3.763421089574507e-22,0.17956206828820698,2860,,True
Story_MS_Verb_Density,Human,-0.1307699273866818,2.2099698615128492e-12,0.1307699273866818,2860,,True
Story_ToM_perspective_taking_Count,Human,0.04818005760498865,0.009966485125878003,0.04818005760498865,2860,,True
Story_ToM_mental_state_attribution_Count,Human,-0.06153055804289301,0.000993814673970266,0.06153055804289301,2860,,True
Story_ToM_Complex_Reasoning,Human,-0.11160664769548737,2.167833574940215e-09,0.11160664769548737,2860,,True
Story_Discourse_causal_Count,Human,-0.19221324296049733,3.334448735611361e-25,0.19221324296049733,2860,,True
Story_Discourse_contrast_Count,Human,-0.18005813504308651,2.8840090432210747e-22,0.18005813504308651,2860,,True
Story_Discourse_temporal_Count,Human,-0.36955702804393153,2.965422800103364e-93,0.36955702804393153,2860,,True
Story_Discourse_conditional_Count,Human,-0.10884501319084677,5.35590190775539e-09,0.10884501319084677,2860,,True
Story_Lexical_Cohesion,Human,-0.169601989606274,6.699171851632578e-20,0.169601989606274,2860,,True
Story_Max_Dependency_Depth_Enhanced,Human,0.20686277532451658,5.161213791831697e-29,0.20686277532451658,2860,,True
Story_Avg_Dependency_Depth_Enhanced,Human,0.3734577368168268,2.4034900213906237e-95,0.3734577368168268,2860,,True
Story_Total_Clauses_Enhanced,Human,-0.23056635263133127,8.074497627784587e-36,0.23056635263133127,2860,,True
Story_Avg_Clauses_Per_Sentence,Human,0.3424120468298554,1.750258048471191e-79,0.3424120468298554,2860,,True
Story_POS_Diversity,Human,0.2460488738436985,1.0557811155576764e-40,0.2460488738436985,2860,,True
Story_Entity_Count_Enhanced,Human,-0.2622499630965372,3.4053047530646796e-46,0.2622499630965372,2860,,True
Story_Entity_Type_Diversity,Human,-0.19386273885360222,1.2848737451139687e-25,0.19386273885360222,2860,,True
Story_Abstract_Word_Count,Human,-0.09355760479809065,5.381870380508231e-07,0.09355760479809065,2860,,True
Story_Concrete_Word_Count,Human,-0.12095353965747971,8.613290194943344e-11,0.12095353965747971,2860,,True
Story_Abstract_Concrete_Ratio,Human,-0.08619991909189839,3.9033752117633695e-06,0.08619991909189839,2860,,True
Story_Content_Word_Count,Human,-0.3520252486355888,3.3114167447701506e-84,0.3520252486355888,2860,,True
Story_Function_Word_Count,Human,-0.3011055291727808,5.13357544424857e-61,0.3011055291727808,2860,,True
Story_Semantic_Density,Human,0.03446690385409531,0.06532956198092917,0.03446690385409531,2860,,False
Story_Question_wh_questions_Count,Human,-0.16701988471196733,2.441649159859326e-19,0.16701988471196733,2860,,True
Story_Question_yes_no_questions_Count,Human,-0.21264425078627833,1.338065028183891e-30,0.21264425078627833,2860,,True
Story_Politeness_Markers,Human,-0.12870934441947973,4.881234287483165e-12,0.12870934441947973,2860,,True
Story_Hedging_Count,Human,-0.17260694827167986,1.4492139032938633e-20,0.17260694827167986,2860,,True
Story_Temporal_Progression,Human,-0.33770740835599533,3.1226229446319306e-77,0.33770740835599533,2860,,True
Story_Character_Introduction,Human,-0.024034430913558405,0.1988061665437871,0.024034430913558405,2860,,False
Story_Dialogue_Markers,Human,-0.3500672259424159,3.129644947147555e-83,0.3500672259424159,2860,,True
Question_Char_Count,Human,0.20166450348044318,1.2559236007962565e-27,0.20166450348044318,2860,,True
Question_Alpha_Char_Ratio,Human,-0.003982844568882281,0.8314001665291754,0.003982844568882281,2860,,False
Question_Punct_Ratio,Human,0.07655251347214855,4.1642162650372146e-05,0.07655251347214855,2860,,True
Question_Word_Count_Enhanced,Human,0.2018299851615748,1.1360990142711786e-27,0.2018299851615748,2860,,True
Question_Unique_Word_Ratio,Human,-0.2215538791321315,3.883764278560156e-33,0.2215538791321315,2860,,True
Question_Avg_Word_Length_Enhanced,Human,-0.01668148415222154,0.3725105342526411,0.01668148415222154,2860,,False
Question_Sentence_Count_Enhanced,Human,0.006001798330779573,0.7483372857407967,0.006001798330779573,2860,,False
Question_Avg_Sentence_Length,Human,0.199386431924931,4.9496046718894945e-27,0.199386431924931,2860,,True
Question_Flesch_Reading_Ease,Human,-0.0032571403657012665,0.8617767981983537,0.0032571403657012665,2860,,False
Question_Flesch_Kincaid_Grade,Human,0.06558336241266535,0.00044882180784134,0.06558336241266535,2860,,True
Question_Automated_Readability_Index,Human,0.10660953294116685,1.0959496494455438e-08,0.10660953294116685,2860,,True
Question_Readability_Composite,Human,0.033074511271505735,0.07697713245716896,0.033074511271505735,2860,,False
Question_Sentiment_Positive,Human,-0.08816303739480502,2.3353209546741932e-06,0.08816303739480502,2860,,True
Question_Sentiment_Negative,Human,0.017847594915581855,0.34001799546108025,0.017847594915581855,2860,,False
Question_Sentiment_Neutral,Human,0.07077510957372346,0.00015181840307570632,0.07077510957372346,2860,,True
Question_Sentiment_Compound,Human,-0.06253799187619517,0.0008190338397977271,0.06253799187619517,2860,,True
Question_TextBlob_Polarity,Human,0.10567019932724053,1.4742990430061516e-08,0.10567019932724053,2860,,True
Question_TextBlob_Subjectivity,Human,-0.0693384987442635,0.00020644440250476437,0.0693384987442635,2860,,True
Question_MS_cognitive_verbs_basic_Count,Human,0.15894904870721058,1.2188839313188374e-17,0.15894904870721058,2860,,True
Question_MS_cognitive_verbs_Total,Human,0.15340988342044326,1.5906963727326694e-16,0.15340988342044326,2860,,True
Question_MS_emotional_verbs_basic_Count,Human,-0.0004965151386693983,0.9788254242235149,0.0004965151386693983,2860,,False
Question_MS_emotional_verbs_Total,Human,-0.0010423325171559361,0.9555660501793253,0.0010423325171559361,2860,,False
Question_MS_volitional_verbs_intention_Count,Human,-0.12083227733554827,8.996047237765963e-11,0.12083227733554827,2860,,True
Question_MS_volitional_verbs_Total,Human,-0.11344153037691532,1.17417337653254e-09,0.11344153037691532,2860,,True
Question_MS_perceptual_verbs_visual_Count,Human,0.15370653960837222,1.3895168799246766e-16,0.15370653960837222,2860,,True
Question_MS_perceptual_verbs_Total,Human,0.14211992743220875,2.2426079143097934e-14,0.14211992743220875,2860,,True
Question_MS_Verb_Density,Human,0.05037633314706305,0.007047159499182147,0.05037633314706305,2860,,True
Question_ToM_mental_state_attribution_Count,Human,0.04502999286887413,0.016025845479957813,0.04502999286887413,2860,,True
Question_Discourse_causal_Count,Human,0.13394628884753357,6.356385732858058e-13,0.13394628884753357,2860,,True
Question_Discourse_contrast_Count,Human,0.12937831264249336,3.779205432860898e-12,0.12937831264249336,2860,,True
Question_Discourse_temporal_Count,Human,0.1921168938955448,3.52452009700966e-25,0.1921168938955448,2860,,True
Question_Discourse_conditional_Count,Human,-0.10347504015589298,2.919243922507889e-08,0.10347504015589298,2860,,True
Question_Max_Dependency_Depth_Enhanced,Human,0.16872955652607757,1.0394207575490747e-19,0.16872955652607757,2860,,True
Question_Avg_Dependency_Depth_Enhanced,Human,0.1652444021866497,5.871104174905e-19,0.1652444021866497,2860,,True
Question_Total_Clauses_Enhanced,Human,0.14665461034434987,3.217686214913252e-15,0.14665461034434987,2860,,True
Question_Avg_Clauses_Per_Sentence,Human,0.14672609389629226,3.1191547211593208e-15,0.14672609389629226,2860,,True
Question_POS_Diversity,Human,-0.20613883537053318,8.092254487811301e-29,0.20613883537053318,2860,,True
Question_Entity_Count_Enhanced,Human,0.1279006612092756,6.639002024267734e-12,0.1279006612092756,2860,,True
Question_Entity_Type_Diversity,Human,0.056479602106890126,0.002514738078934754,0.056479602106890126,2860,,True
Question_Concrete_Word_Count,Human,0.07709751540442815,3.6682828250450956e-05,0.07709751540442815,2860,,True
Question_Content_Word_Count,Human,0.1740950311229435,6.720202496594826e-21,0.1740950311229435,2860,,True
Question_Function_Word_Count,Human,0.044249581089762895,0.01795491491843895,0.044249581089762895,2860,,True
Question_Semantic_Density,Human,0.01074498074718707,0.5656999540178012,0.01074498074718707,2860,,False
Question_Question_wh_questions_Count,Human,0.19082795666463465,7.378271793770906e-25,0.19082795666463465,2860,,True
Question_Question_yes_no_questions_Count,Human,-0.12215913834318676,5.5772424607866186e-11,0.12215913834318676,2860,,True
Question_Hedging_Count,Human,0.03930179247170543,0.035578470981347074,0.03930179247170543,2860,,True
Question_Temporal_Progression,Human,0.3355064523313173,3.4230199574167867e-76,0.3355064523313173,2860,,True
Question_Dialogue_Markers,Human,-0.1901221277588619,1.1032875806473174e-24,0.1901221277588619,2860,,True
Story_Entity_Density,Human,-0.09122385170908495,1.0258379329919543e-06,0.09122385170908495,2860,,True
Story_Causal_Depth,Human,-0.2520652336400751,1.0723247642863696e-42,0.2520652336400751,2860,,True
Story_Uncertainty_Level,Human,-0.16023395329255874,6.627972683765094e-18,0.16023395329255874,2860,,True
Story_Temporal_Complexity,Human,-0.3334186418996249,3.2584202631000317e-75,0.3334186418996249,2860,,True
Story_Cognitive_Load_Index,Human,-0.13490062863768584,4.3458645618614613e-13,0.13490062863768584,2860,,True
Story_Mental_State_Depth,Human,-0.11324014777839614,1.256509653428736e-09,0.11324014777839614,2860,,True
Story_Entity_Switches,Human,-0.3207177503207479,2.012680962749308e-69,0.3207177503207479,2860,,True
Story_Emotional_Transitions,Human,-0.20980343351498298,8.162078364189911e-30,0.20980343351498298,2860,,True
Story_Mental_State_Interaction,Human,-0.21306572963341294,1.0209192794694687e-30,0.21306572963341294,2860,,True
Story_Inference_Chain_Depth,Human,-0.10818302479781827,6.630844609460395e-09,0.10818302479781827,2860,,True
Story_Contradiction_Resolution,Human,-0.047736764317849456,0.010672210527447781,0.047736764317849456,2860,,True
Story_Perspective_Shifts,Human,-0.11731393185389068,3.117399033542025e-10,0.11731393185389068,2860,,True
Story_Inference_Complexity,Human,-0.02529125605836794,0.17631925087804173,0.02529125605836794,2860,,False
Story_Complexity_Gradient,Human,-0.3410339602298029,8.065698085780196e-79,0.3410339602298029,2860,,True
Story_Complexity_Variance,Human,-0.32222691611531373,4.267401409840121e-70,0.32222691611531373,2860,,True
Story_Complexity_Peaks,Human,-0.34968900709724804,4.820850583670898e-83,0.34968900709724804,2860,,True
Story_Working_Memory_Load,Human,-0.2775080322481259,9.881548499175957e-52,0.2775080322481259,2860,,True
Story_Attention_Switching_Cost,Human,-0.44046195291483076,4.7525335054922024e-136,0.44046195291483076,2860,,True
Question_Entity_Density,Human,-0.19257752333983671,2.7032190628963364e-25,0.19257752333983671,2860,,True
Question_Causal_Depth,Human,-0.11364161844127955,1.0975825358371286e-09,0.11364161844127955,2860,,True
Question_Uncertainty_Level,Human,-0.012490531024991106,0.5043156969441512,0.012490531024991106,2860,,False
Question_Temporal_Complexity,Human,0.134755480563731,4.60540225775037e-13,0.134755480563731,2860,,True
Question_Cognitive_Load_Index,Human,-0.024936951548681547,0.18245740173624922,0.024936951548681547,2860,,False
Question_Mental_State_Depth,Human,0.060850374210245646,0.00113069448795392,0.060850374210245646,2860,,True
Question_Emotional_Transitions,Human,0.04374394400809553,0.019310701789810696,0.04374394400809553,2860,,True
Question_Inference_Chain_Depth,Human,-0.10259907531114865,3.8192821114374544e-08,0.10259907531114865,2860,,True
Question_Contradiction_Resolution,Human,0.12711064865902888,8.949187571023548e-12,0.12711064865902888,2860,,True
Question_Complexity_Gradient,Human,0.03163924732866123,0.09069973145549116,0.03163924732866123,2860,,False
Question_Complexity_Variance,Human,0.03947793601934468,0.03476034075907691,0.03947793601934468,2860,,True
Question_Attention_Switching_Cost,Human,0.00913493997594983,0.6253205139816428,0.00913493997594983,2860,,False
Story_Parse_Max_Depth,Human,0.20686277532451658,5.161213791831697e-29,0.20686277532451658,2860,,True
Story_Parse_Avg_Depth,Human,0.39238573741662697,6.547889798106368e-106,0.39238573741662697,2860,,True
Story_Parse_Total_Depth,Human,-0.15901129303673467,1.183574697544065e-17,0.15901129303673467,2860,,True
Story_Clause_Count,Human,-0.2511907669422201,2.1057084770244567e-42,0.2511907669422201,2860,,True
Story_Subordinate_Clauses,Human,-0.2206622176808653,7.051283893895819e-33,0.2206622176808653,2860,,True
Story_Coordinate_Clauses,Human,-0.16671464618470982,2.841122732425682e-19,0.16671464618470982,2860,,True
Story_Yngve_Depth,Human,0.17399598822255277,7.074381347530599e-21,0.17399598822255277,2860,,True
Story_Avg_Arc_Length,Human,-0.31068543179436914,4.830624861683192e-65,0.31068543179436914,2860,,True
Story_Max_Arc_Length,Human,-0.2287387170590759,2.8873335572489634e-35,0.2287387170590759,2860,,True
Story_Verb_Argument_Complexity,Human,0.25794020081101515,1.0754154356245564e-44,0.25794020081101515,2860,,True
Story_Predicate_Count,Human,-0.3747233450743645,4.9671199647514475e-96,0.3747233450743645,2860,,True
Story_Entity_Relation_Depth,Human,-0.13459423934217496,4.911568110935006e-13,0.13459423934217496,2860,,True
Story_Semantic_Mental_State_Depth,Human,-0.15605923756755377,4.710210435537577e-17,0.15605923756755377,2860,,True
Story_Causal_Chain_Depth,Human,-0.2008494365388312,2.055389234906947e-27,0.2008494365388312,2860,,True
Story_Temporal_Semantic_Complexity,Human,-0.3532532586199497,8.029266073159475e-85,0.3532532586199497,2860,,True
Story_Embedding_Variance,Human,-0.4957908602633989,2.5078324080413285e-177,0.4957908602633989,2860,,True
Story_Embedding_Std,Human,-0.4921948071329665,2.0851833758131825e-174,0.4921948071329665,2860,,True
Story_Semantic_Coherence_Avg,Human,-0.25595331607046407,5.168477319961852e-44,0.25595331607046407,2860,,True
Story_Semantic_Coherence_Min,Human,-0.04442758028208623,0.017497873448415396,0.04442758028208623,2860,,True
Story_Embedding_Trajectory_Length,Human,-0.4273402763476396,2.4919822379962915e-127,0.4273402763476396,2860,,True
Story_PCA_First_Component,Human,-0.2913402763399895,4.5766688590788505e-57,0.2913402763399895,2860,,True
Story_PCA_Cumulative_Variance,Human,-0.3305667463392432,6.878333153025829e-74,0.3305667463392432,2860,,True
Story_Avg_Distance_To_Centroid,Human,-0.479284715565651,3.3007626944156944e-164,0.479284715565651,2860,,True
Story_Max_Distance_To_Centroid,Human,-0.4942413774097665,4.588773884528853e-176,0.4942413774097665,2860,,True
Story_Flesch_Reading_Ease.1,Human,-0.2431281827888448,9.371426591921619e-40,0.2431281827888448,2860,,True
Story_Flesch_Kincaid_Grade.1,Human,0.3429279561701206,9.858887727866105e-80,0.3429279561701206,2860,,True
Story_Gunning_Fog,Human,0.33619823038540925,1.6161399604569394e-76,0.33619823038540925,2860,,True
Story_SMOG_Index,Human,-0.010468791707428135,0.5757313152809272,0.010468791707428135,2860,,False
Story_Automated_Readability,Human,0.35019767033139054,2.696023582113664e-83,0.35019767033139054,2860,,True
Story_Coleman_Liau,Human,0.022038329982003113,0.23871090191443983,0.022038329982003113,2860,,False
Story_Difficult_Words,Human,-0.279270182214407,2.1480862516800576e-52,0.279270182214407,2860,,True
Story_Dale_Chall,Human,0.32434334173696355,4.774978062327385e-71,0.32434334173696355,2860,,True
Story_Linsear_Write,Human,0.3565608793515378,1.7124103994529772e-86,0.3565608793515378,2860,,True
Question_Parse_Max_Depth,Human,0.16872955652607757,1.0394207575490747e-19,0.16872955652607757,2860,,True
Question_Parse_Avg_Depth,Human,0.1419421468381457,2.4169401022427136e-14,0.1419421468381457,2860,,True
Question_Parse_Total_Depth,Human,0.20856965818145584,1.7755223881839002e-29,0.20856965818145584,2860,,True
Question_Clause_Count,Human,0.18782998912524376,4.0310044355239686e-24,0.18782998912524376,2860,,True
Question_Subordinate_Clauses,Human,0.15256975741581147,2.329502981550007e-16,0.15256975741581147,2860,,True
Question_Coordinate_Clauses,Human,0.05200311201572463,0.005406846543741396,0.05200311201572463,2860,,True
Question_Yngve_Depth,Human,0.054467058625325124,0.0035713673103995635,0.054467058625325124,2860,,True
Question_Avg_Arc_Length,Human,0.027493398555962695,0.1415743009094151,0.027493398555962695,2860,,False
Question_Max_Arc_Length,Human,0.11304963868416204,1.3395629387977066e-09,0.11304963868416204,2860,,True
Question_Verb_Argument_Complexity,Human,-0.13306335491192997,9.01454115969763e-13,0.13306335491192997,2860,,True
Question_Predicate_Count,Human,0.15603872406014124,4.75519463989444e-17,0.15603872406014124,2860,,True
Question_Entity_Relation_Depth,Human,0.05092191726570654,0.006453005606313385,0.05092191726570654,2860,,True
Question_Semantic_Mental_State_Depth,Human,0.11571506692864109,5.418603384395288e-10,0.11571506692864109,2860,,True
Question_Temporal_Semantic_Complexity,Human,0.22883669516711522,2.6974492712094947e-35,0.22883669516711522,2860,,True
Question_Embedding_Variance,Human,0.009426572305565366,0.6143216896255815,0.009426572305565366,2860,,False
Question_Embedding_Std,Human,0.008701135212964312,0.6418361322024522,0.008701135212964312,2860,,False
Question_Semantic_Coherence_Avg,Human,0.004164947361663795,0.8238151715130936,0.004164947361663795,2860,,False
Question_Semantic_Coherence_Min,Human,0.007580238722630847,0.6853217215917398,0.007580238722630847,2860,,False
Question_Embedding_Trajectory_Length,Human,0.007516608486824651,0.6878235580195412,0.007516608486824651,2860,,False
Question_Avg_Distance_To_Centroid,Human,0.009530310244048157,0.6104298847721856,0.009530310244048157,2860,,False
Question_Max_Distance_To_Centroid,Human,0.008828555439340663,0.6369661669834477,0.008828555439340663,2860,,False
Question_Flesch_Reading_Ease.1,Human,-0.0032571403657012665,0.8617767981983537,0.0032571403657012665,2860,,False
Question_Flesch_Kincaid_Grade.1,Human,0.06558336241266535,0.00044882180784134,0.06558336241266535,2860,,True
Question_Gunning_Fog,Human,-0.020841384931620677,0.2651893086787354,0.020841384931620677,2860,,False
Question_SMOG_Index,Human,-0.1164858340433515,4.1547811619777467e-10,0.1164858340433515,2860,,True
Question_Automated_Readability,Human,0.10660953294116685,1.0959496494455438e-08,0.10660953294116685,2860,,True
Question_Coleman_Liau,Human,0.027643155157304207,0.13941752974590577,0.027643155157304207,2860,,False
Question_Difficult_Words,Human,0.14133817993283265,3.114675151734885e-14,0.14133817993283265,2860,,True
Question_Dale_Chall,Human,0.09091255876644458,1.1167081050020785e-06,0.09091255876644458,2860,,True
Question_Linsear_Write,Human,0.1325834597345474,1.0889132906479238e-12,0.1325834597345474,2860,,True
Story_Dep_Max_Depth,Human,0.20686277532451658,5.161213791831697e-29,0.20686277532451658,2860,,True
Story_Dep_Avg_Depth,Human,0.39238573741662697,6.547889798106368e-106,0.39238573741662697,2860,,True
Story_Dep_Depth_Variance,Human,0.3283794667753983,6.978335057762431e-73,0.3283794667753983,2860,,True
Story_Dep_Total_Depth,Human,-0.15901129303673467,1.183574697544065e-17,0.15901129303673467,2860,,True
Story_Arc_Max_Length,Human,-0.2287387170590759,2.8873335572489634e-35,0.2287387170590759,2860,,True
Story_Arc_Avg_Length,Human,-0.3106854317943691,4.830624861683192e-65,0.3106854317943691,2860,,True
Story_Arc_Length_Variance,Human,-0.2083578943541039,2.027884961698145e-29,0.2083578943541039,2860,,True
Story_Dep_Label_Diversity,Human,0.20787101305614686,2.751096918019662e-29,0.20787101305614686,2860,,True
Story_Complex_Dependencies,Human,-0.2511907669422201,2.1057084770244567e-42,0.2511907669422201,2860,,True
Story_Total_Clauses,Human,-0.2511907669422201,2.1057084770244567e-42,0.2511907669422201,2860,,True
Story_Subordinate_Clauses.1,Human,-0.2206622176808653,7.051283893895819e-33,0.2206622176808653,2860,,True
Story_Coordinate_Clauses.1,Human,-0.16671464618470982,2.841122732425682e-19,0.16671464618470982,2860,,True
Story_Clause_Ratio,Human,0.3383351448354587,1.5717109621161311e-77,0.3383351448354587,2860,,True
Story_Yngve_Depth.1,Human,0.17399598822255277,7.074381347530599e-21,0.17399598822255277,2860,,True
Story_POS_Diversity.1,Human,0.2460488738436985,1.0557811155576764e-40,0.2460488738436985,2860,,True
Story_Entity_Count.1,Human,-0.2622499630965372,3.4053047530646796e-46,0.2622499630965372,2860,,True
Story_Entity_Type_Diversity.1,Human,-0.19386273885360222,1.2848737451139687e-25,0.19386273885360222,2860,,True
Story_Embedding_Error,Human,,,,2133,,False
Story_Attention_Entropy,Human,-0.4054356384732418,1.309893249306485e-113,0.4054356384732418,2860,,True
Story_Attention_Variance,Human,0.327251051108965,2.289065202198343e-72,0.327251051108965,2860,,True
Story_Attention_Max,Human,0.4367757395605134,1.4638143170021794e-133,0.4367757395605134,2860,,True
Story_Cross_Sentence_Attention,Human,0.025583894455420135,0.17151648254922217,0.025583894455420135,2858,,False
Story_Entity_Network_Nodes,Human,-0.25816371369481184,1.1701628527498086e-38,0.25816371369481184,2454,,True
Story_Entity_Network_Edges,Human,-0.26691288976892724,2.671500839115764e-41,0.26691288976892724,2454,,True
Story_Entity_Network_Density,Human,-0.019410355003522603,0.3364776695901224,0.019410355003522603,2454,,False
Story_Entity_Network_Clustering,Human,-0.32337177650483007,7.711434908908149e-61,0.32337177650483007,2454,,True
Story_Discourse_Network_Nodes,Human,-0.2503586100561448,7.635921909542571e-32,0.2503586100561448,2133,,True
Story_Discourse_Network_Edges,Human,-0.16561155539380257,1.388637449804536e-14,0.16561155539380257,2133,,True
Story_Discourse_Network_Density,Human,0.16392521555084566,2.5776155681098394e-14,0.16392521555084566,2133,,True
Story_Discourse_Network_Clustering,Human,-0.08271362468907355,0.0001310933507476736,0.08271362468907355,2133,,True
Story_Discourse_Avg_Path_Length,Human,-0.3125760651468835,9.653523593813859e-17,0.3125760651468835,674,,True
Story_Flesch_Reading_Ease.2,Human,-0.2431281827888448,9.371426591921619e-40,0.2431281827888448,2860,,True
Story_Flesch_Kincaid_Grade.2,Human,0.3429279561701206,9.858887727866105e-80,0.3429279561701206,2860,,True
Story_Gunning_Fog.1,Human,0.33619823038540925,1.6161399604569394e-76,0.33619823038540925,2860,,True
Story_SMOG_Index.1,Human,-0.010468791707428135,0.5757313152809272,0.010468791707428135,2860,,False
Story_Automated_Readability_Index.1,Human,0.35019767033139054,2.696023582113664e-83,0.35019767033139054,2860,,True
Story_Coleman_Liau_Index,Human,0.02203832998200312,0.23871090191443983,0.02203832998200312,2860,,False
Story_Linsear_Write_Formula,Human,0.3565608793515378,1.7124103994529772e-86,0.3565608793515378,2860,,True
